Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Aripiprazole Accord,EMEA/H/C/004021,aripiprazole,aripiprazole,"Schizophrenia
Bipolar Disorder",N05AX12,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,5,15/11/2015,"Sage House
319 Pinner Road
North Harrow HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Aripiprazole Sandoz,EMEA/H/C/004008,aripiprazole,aripiprazole,"Schizophrenia
Bipolar Disorder",N05AX12,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Sandoz GmbH,5,19/08/2015,"Biochemiestr. 10
6250 Kundl
Austria",,,,,,,,,Austria
Zyclara,EMEA/H/C/002387,imiquimod,imiquimod,"Keratosis
Keratosis, Actinic",D06BB10,,Meda AB,7,22/08/2012,"Pipers väg 2A
SE-170 09 Solna
Sweden",,,,,,,,,Sweden
Palonosetron Hospira,EMEA/H/C/004069,palonosetron hydrochloride,palonosetron,"Nausea
Vomiting
Cancer",A04AA05,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Hospira UK Limited,3,07/04/2016,"Horizon
Honey Lane
Hurley SL6 6RJ
United Kingdom",,,,,,,,,United Kingdom
Synflorix,EMEA/H/C/000973,"pneumococcal polysaccharide serotype 1 / pneumococcal polysaccharide serotype 1, 4, 5, 6b, 7f, 9v, 14, 18c, 19f, 23f / pneumococcal polysaccharide serotype 14 / pneumococcal polysaccharide serotype 18c / pneumococcal polysaccharide serotype 19f
pneumococcal polysaccharide serotype 23f / pneumococcal polysaccharide serotype 4 / pneumococcal polysaccharide serotype 5 / pneumococcal polysaccharide serotype 6b / pneumococcal polysaccharide serotype 7f / pneumococcal polysaccharide serotype 9v",pneumococcal polysaccharide conjugate vaccine (adsorbed),"Pneumococcal Infections
Immunization",J07AL52,,GlaxoSmithKline Biologicals S.A.,30,29/03/2009,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Epivir,EMEA/H/C/000107,lamivudine,lamivudine,HIV Infections,J05AF05,,ViiV Healthcare UK Limited ,39,07/08/1996,"ViiV Healthcare UK Limited
980 Great West Road
Brentford
Middlesex
TW8 9GS
United Kingdom",,,,,,,,,United Kingdom
Olanzapine Teva,EMEA/H/C/000810,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva Pharma,23,11/12/2007,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Aripiprazole Zentiva,EMEA/H/C/003899,aripiprazole,aripiprazole,"Schizophrenia
Bipolar Disorder",N05AX12,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Zentiva, k.s.",5,24/06/2015,"U kabelovny 130
Dolni Mecholupy
102 37 Prague 10
Czech Republic",,,,,,,,,Czech Republic
Pregabalin Accord,EMEA/H/C/004024,pregabalin,pregabalin,"Anxiety Disorders
Epilepsy",N03AX16,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Limited,5,27/08/2015,"Sage House
319 Pinner Road
North Harrow HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Ristempa,EMEA/H/C/003910,pegfilgrastim,pegfilgrastim,Neutropenia,L03AA13,,Amgen Europe B.V.,3,12/04/2015,"Minervum 7061
4817 ZK Breda
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Javlor,EMEA/H/C/000983,vinflunine,vinflunine,"Carcinoma, Transitional Cell
Urologic Neoplasms",L01CA05,,Pierre Fabre Médicament,8,21/09/2009,"45, place Abel Gance
F-92100 Boulogne
France",,,,,,,,,France
Zubsolv,EMEA/H/C/004407,"buprenorphine hydrochloride, naloxone hydrochloride dihydrate",buprenorphine / naloxone,Opioid-Related Disorders,N07BC51,,Mundipharma Corporation Limited,1,09/11/2017,"Milton Road
Cambridge Science Park
Cambridge CB4 0AB
United Kingdom",,,,,,,,,United Kingdom
Elocta,EMEA/H/C/003964,efmoroctocog alfa,efmoroctocog alfa,Hemophilia A,B02BD02,,Swedish Orphan Biovitrum AB (publ),4,18/11/2015,"SE-112 76
112 76 Stockholm
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Sweden
NutropinAq,EMEA/H/C/000315,somatropin,somatropin,"Turner Syndrome
Dwarfism, Pituitary",H01AC01,,Ipsen Pharma,15,15/02/2001,"65, quai Georges Gorse
F-92100 Boulogne-Billancourt
France",,,,,,,,,France
Levodopa/Carbidopa/Entacapone Orion,EMEA/H/C/002441,"levodopa
carbidopa
entacapone",levodopa / carbidopa / entacapone,Parkinson Disease,N04BA03,,Orion Corporation,9,23/08/2011,"Orionintie 1
FI-02200 Espoo
Finland",,,,,,,,,Finland
Fabrazyme,EMEA/H/C/000370,agalsidase beta,agalsidase beta,Fabry Disease,A16AB04,,Genzyme Europe B.V.,25,03/08/2001,"Gooimer 10
NL-1411 DD Naarden
The Netherlands",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Resolor,EMEA/H/C/001012,Prucalopride succinate,prucalopride,Constipation,A06AX05,,Shire Pharmaceuticals Ireland Ltd,20,14/10/2009,"Block 2-3, Miesian Plaza
50-58 Baggot Street Lower
Dublin 2
D02 Y754 
Ireland",,,,,,,,,Ireland
Odomzo,EMEA/H/C/002839,sonidegib diphosphate,sonidegib,"Carcinoma, Basal Cell",L01XX,,Sun Pharmaceutical Industries Europe B.V.,5,13/08/2015,"Polarisavenue 87
2132JH Hoofddorp
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Tenofovir disoproxil Zentiva,EMEA/H/C/004120,tenofovir disoproxil phosphate,tenofovir disoproxil,HIV Infections,J05AF07,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Zentiva k.s.,3,14/09/2016,"U Kabelovny 130
Dolni Mecholupy 102 37
Prague 10
Czech Republic",,,,,,,,,Czech Republic
Olumiant,EMEA/H/C/004085,baricitinib,baricitinib,"Arthritis, Rheumatoid",L04AA37,,Eli Lilly Nederland B.V.,3,12/02/2017,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Mycamine,EMEA/H/C/000734,micafungin,micafungin,Candidiasis,J02AX05,,Astellas Pharma Europe B.V.,12,24/04/2008,"Elisabethhof 19
NL-2353 EW Leiderdorp
The Netherlands",,,,,,,,,The Netherlands
Nimvastid,EMEA/H/C/001029,rivastigmine,rivastigmine,"Dementia
Alzheimer Disease
Parkinson Disease",N06DA03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Krka, d.d., Novo mesto",8,10/05/2009,"Šmarješka cesta 6
8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Anagrelide Mylan,EMEA/H/C/004585,Anagrelide hydrochloride,anagrelide,"Thrombocythemia, Essential",L01XX35,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S.,0,14/02/2018,"117 Allee des Parcs
69800 Saint-Priest
France",,,,,,,,,France
Iscover,EMEA/H/C/000175,clopidogrel,clopidogrel,"Stroke
Peripheral Vascular Diseases
Atrial Fibrillation
Myocardial Infarction
Acute Coronary Syndrome",B01AC04,,Sanofi-Aventis Groupe,38,14/07/1998,"54 rue La Boétie
F-75008 Paris
France",,,,,,,,,France
Zeffix,EMEA/H/C/000242,lamivudine,lamivudine,"Hepatitis B, Chronic",J05AF05,,Glaxo Group Ltd,21,28/07/1999,"980 Great West Road
Brentford
Middlesex TW8 9GS
United Kingdom",,,,,,,,,United Kingdom
Corlentor,EMEA/H/C/000598,ivabradine hydrochloride,ivabradine,"Angina Pectoris
Heart Failure",C01EB17,,Les Laboratoires Servier,23,24/10/2005,"50, rue Carnot
F-92284 Suresnes Cedex
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,France
DuoPlavin,EMEA/H/C/001143,"clopidogrel
acetylsalicylic acid",clopidogrel / acetylsalicylic acid,"Acute Coronary Syndrome
Myocardial Infarction",B01AC30,,Sanofi Pharma Bristol-Myers Squibb SNC,17,14/03/2010,"54, rue La Boétie
F-75008 Paris
France",,,,,,,,,France
Combivir,EMEA/H/C/000190,"lamivudine
zidovudine",lamivudine / zidovudine,HIV Infections,J05AR01,,ViiV Healthcare UK Limited ,27,17/03/1998,"ViiV Healthcare UK Limited
980 Great West Road
Brentford
Middlesex
TW8 9GS
United Kingdom",,,,,,,,,United Kingdom
Voriconazole Accord,EMEA/H/C/002669,voriconazole,voriconazole,"Aspergillosis
Candidiasis
Mycoses",J02AC03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,9,16/05/2013,"Sage House
319 Pinner road
North Harrow
Middlesex HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Trizivir,EMEA/H/C/000338,"abacavir (as sulfate)
lamivudine
zidovudine",abacavir (as sulfate) / lamivudine / zidovudine,HIV Infections,J05AR04,,ViiV Healthcare BV,32,27/12/2000,"Huis ter Heideweg 62
3705 LZ Zeist
The Netherlands",,,,,,,,,The Netherlands
Eurartesim,EMEA/H/C/001199,piperaquine tetraphosphate / artenimol,piperaquine tetraphosphate / artenimol,Malaria,P01BF05,,Alfasigma S.p.A.,9,27/10/2011,"Viale Sarca 223
20126 Milan
Italy","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Italy
Kivexa,EMEA/H/C/000581,"abacavir
lamivudine",abacavir / lamivudine,HIV Infections,J05AR02,,ViiV Healthcare UK Limited ,28,16/12/2004,"ViiV Healthcare UK Limited
980 Great West Road
Brentford
Middlesex
TW8 9GS
United Kingdom",,,,,,,,,United Kingdom
Efavirenz/Emtricitabine/Tenofovir disoproxil Krka,EMEA/H/C/004274,"efavirenz
emtricitabine
tenofovir disoproxil succinate",efavirenz / emtricitabine / tenofovir disoproxil,HIV Infections,J05AR06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","KRKA, d.d., Novo mesto",0,07/02/2018,"Smarjeska cesta 6
8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Revestive,EMEA/H/C/002345,teduglutide,teduglutide,Malabsorption Syndromes,A16AX08,,Shire Pharmaceuticals Ireland Ltd,12,29/08/2012,"Block 2-3, Miesian Plaza
50-58 Baggot Street Lower
Dublin 2
D02 Y754 
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
Ventavis,EMEA/H/C/000474,iloprost,iloprost,"Hypertension, Pulmonary",B01AC11,,Bayer AG,25,15/09/2003,"51368 Leverkusen
Germany",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Germany
Xadago,EMEA/H/C/002396,safinamide methanesulfonate,safinamide,Parkinson Disease,N04B,,Zambon SpA,7,23/02/2015,"Via Lillo Del Duca 10
20091 Bresso (Milan)
Italy","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Italy
Brinavess,EMEA/H/C/001215,Vernakalant hydrochloride,vernakalant hydrochloride,Atrial Fibrillation,C01BG11,,Cardiome UK Limited,11,31/08/2010,"Lakeside House
1 Furzeground Way
Stockley Park
Uxbridge
Middlesex
UB11 1BD
United Kingdom",,,,,,,,,United Kingdom
Trisenox,EMEA/H/C/000388,Arsenic trioxide,arsenic trioxide,"Leukemia, Promyelocytic, Acute",L01XX27,,Teva B.V.,24,04/03/2002,"Swensweg 5
2031 GA Haarlem
Netherlands",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
LeukoScan,EMEA/H/C/000111,sulesomab,sulesomab,"Osteomyelitis
Radionuclide Imaging",VO4D,,Immunomedics GmbH,7,14/02/1997,"Otto-Röhm-Straße 69
D-64293 Darmstadt
Germany",,,,,,,,,Germany
Idelvion,EMEA/H/C/003955,albutrepenonacog alfa,albutrepenonacog alfa,Hemophilia B,B02BD04,,CSL Behring GmbH,3,10/05/2016,"Emil-von-Behring-Straße 76
35041 Marburg
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Germany
Renagel,EMEA/H/C/000254,sevelamer,sevelamer,"Renal Dialysis
Hyperphosphatemia",V03AE02,,Genzyme Europe B.V.,29,28/01/2000,"Gooimer 10
NL-1411 DD Naarden
The Netherlands",,,,,,,,,The Netherlands
Hexacima,EMEA/H/C/002702,"diphtheria toxoid / tetanus toxoid
two-component acellular pertussis (pertussis toxoid and filamentous haemagglutinin ) / inactivated poliomyelitis virus types 1,2 and 3 / Haemophilus influenzae type-b polysaccharide (polyribosylribitol phosphate) conjugated to tetanus protein
hepatitis-B surface antigen","diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus influenzae type-b conjugate vaccine (adsorbed)","Hepatitis B
Tetanus
Immunization
Meningitis, Haemophilus
Whooping Cough
Poliomyelitis
Diphtheria",J07CA09,,Sanofi Pasteur,17,16/04/2013,"14 Espace Henry Vallée
69007Lyon
France",,,,,,,,,France
Benepali,EMEA/H/C/004007,etanercept,etanercept,"Arthritis, Psoriatic
Arthritis, Rheumatoid
Psoriasis",L04AB01,,Samsung Bioepis UK Limited5th FloorProfile West950 Great West RoadBrentfordTW8 9ESUnited Kingdom,6,13/01/2016,,"This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,
Libertek,EMEA/H/C/002399,roflumilast,roflumilast,"Pulmonary Disease, Chronic Obstructive",R03DX08,,AstraZeneca AB,11,27/02/2011,"SE-151-85 Sodertalje
Sweden",,,,,,,,,Sweden
Zejula,EMEA/H/C/004249,niraparib tosylate monohydrate,niraparib,"Fallopian Tube Neoplasms
Peritoneal Neoplasms
Ovarian Neoplasms",L01XX,,Tesaro UK Limited,3,15/11/2017,"55 Baker Street
London
W1U 7EU
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Vizarsin,EMEA/H/C/001076,sildenafil,sildenafil,Erectile Dysfunction,G04BE03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Krka, d.d., Novo mesto",14,20/09/2009,"Šmarješka cesta 6
8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Victoza,EMEA/H/C/001026,liraglutide,liraglutide,"Diabetes Mellitus, Type 2",A10BJ02,,Novo Nordisk A/S,18,29/06/2009,"Novo Allé
DK-2880 Bagsvaerd
Denmark",,,,,,,,,Denmark
Daliresp,EMEA/H/C/002398,roflumilast,roflumilast,"Pulmonary Disease, Chronic Obstructive",R03DX07,,AstraZeneca AB,9,27/02/2011,"SE-151-85 Sodertalje
Sweden",,,,,,,,,Sweden
Zalasta,EMEA/H/C/000792,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Krka,15,27/09/2007,"Smarjeska cesta 6
SI-8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Rebif,EMEA/H/C/000136,interferon beta-1a,interferon beta-1a,Multiple Sclerosis,L03AB07,,Merck Serono Europe Ltd,32,03/05/1998,"56 Marsh Wall
London E14 9TP
United Kingdom",,,,,,,,,United Kingdom
Jevtana,EMEA/H/C/002018,cabazitaxel,cabazitaxel,Prostatic Neoplasms,L01CD,,sanofi-aventis groupe ,16,16/03/2011,"sanofi-aventis groupe
54, rue la Boétie
F-75008 Paris
France",,,,,,,,,France
Nyxoid,EMEA/H/C/004325,Naloxone hydrochloride dihydrate,naloxone,Opioid-Related Disorders,V03AB15,,Mundipharma Corporation Limited,1,09/11/2017,"Milton Road
Cambridge Science Park
Cambridge CB4 0AB
United Kingdom",,,,,,,,,United Kingdom
Twinrix Adult,EMEA/H/C/000112,"hepatitis A virus (inactivated)
hepatitis B surface antigen",hepatitis A (inactivated) and hepatitis B (rDNA) (HAB) vaccine (adsorbed),"Hepatitis B
Hepatitis A
Immunization",J07BC20,,GlaxoSmithKline Biologicals S.A.,19,19/09/1996,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Onzeald,,etirinotecan pegol,etirinotecan pegol,Breast Neoplasms,L01,,,,,,,,,,Nektar Therapeutics UK Limited,08/11/2017,,07/01/2018,
Fulvestrant Mylan,EMEA/H/C/004649,fulvestrant,fulvestrant,Breast Neoplasms,L02BA03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,0,07/01/2018,"117 Allee des Parcs
69800
Saint-Priest
France",,,,,,,,,France
Memantine LEK,EMEA/H/C/002630,memantine hydrochloride,memantine,Alzheimer Disease,N06DX01,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Pharmathen S.A.,4,21/04/2013,"6, Dervenakion str.
15351 Pallini
Attiki
Greece",,,,,,,,,Greece
Multaq,EMEA/H/C/001043,dronedarone,dronedarone,Atrial Fibrillation,C01BD07,,Sanofi-aventis groupe,12,25/11/2009,"54 rue La Boétie
75008 Paris
France",,,,,,,,,France
Toujeo (previously Optisulin),EMEA/H/C/000309,insulin glargine,insulin glargine,Diabetes Mellitus,A10AE04,,Sanofi-aventis Deutschland GmbH,24,26/06/2000,"D-65926 Frankfurt am Main
Germany",,,,,,,,,Germany
Tracleer,EMEA/H/C/000401,bosentan monohydrate,bosentan,"Scleroderma, Systemic
Hypertension, Pulmonary",C02KX01,,Actelion Registration Ltd,32,14/05/2002,"Gewerbestrasse 16
CH-4123 Allschwil
Switzerland",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Switzerland
Besponsa,EMEA/H/C/004119,inotuzumab ozogamicin,inotuzumab ozogamicin,Precursor Cell Lymphoblastic Leukemia-Lymphoma,L01XC,,Pfizer Limited,2,28/06/2017,"821 Ramsgate Road Sandwich
Kent CT13 9NJ
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Replagal,EMEA/H/C/000369,agalsidase alfa,agalsidase alfa,Fabry Disease,A16AB03,,Shire Human Genetic Therapies AB,21,03/08/2001,"Vasagatan 7
111 20 Stockholm
Sweden",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Sweden
Qtern,EMEA/H/C/004057,"Saxagliptin
dapagliflozin propanediol monohydrate",saxagliptin / dapagliflozin,"Diabetes Mellitus, Type 2",A10BD21,,Astra Zeneca AB,2,14/07/2016,"51 85 Södertälje
Sweden",,,,,,,,,Sweden
Tacforius,EMEA/H/C/004435,tacrolimus monohydrate,tacrolimus,"Liver Transplantation
Kidney Transplantation",L04AD02,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,0,07/12/2017,"Swensweg 5
2031 GA Haarlem
Netherlands",,,,,,,,,The Netherlands
EnCyzix,,enclomifene citrate,enclomifene,Hypogonadism,G03X,,,,,,,,,,Renable Pharma Limited,,,24/01/2018,
Imatinib Actavis,EMEA/H/C/002594,imatinib,imatinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive
Precursor Cell Lymphoblastic Leukemia-Lymphoma
Myelodysplastic-Myeloproliferative Diseases
Hypereosinophilic Syndrome
Dermatofibrosarcoma",L01XE01,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf,9,16/04/2013,"Reykjavíkurvegur 76-78
Hafnarfjörður
Iceland",,,,,,,,,Iceland
Tepadina,EMEA/H/C/001046,thiotepa,thiotepa,Hematopoietic Stem Cell Transplantation,L01AC01,,Adienne S.r.l.,11,14/03/2010,"Via Galileo Galilei, 19
20867 Caponago (MB)
Italy",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Italy
Ledaga,EMEA/H/C/002826,Chlormethine,chlormethine,Mycosis Fungoides,L01AA05,,Actelion Registration Ltd.,2,02/03/2017,"Chiswick Tower
13th Floor 389
Chiswick High Road
London W4 4AL
United Kingdom",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Adasuve,EMEA/H/C/002400,loxapine,loxapine,"Schizophrenia
Bipolar Disorder",N05AH01,,Ferrer Internacional s.a.,10,20/02/2013,"Gran Via Carlos III, 94
08028 Barcelona
Spain",,,,,,,,,Spain
Lartruvo,EMEA/H/C/004216,Olaratumab,olaratumab,Sarcoma,L01XC27,,Eli Lilly Nederland B.V.,3,09/11/2016,"Papendorpseweg 83
3528 BJ Utrecht
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,The Netherlands
Neupro,EMEA/H/C/000626,rotigotine,rotigotine,"Restless Legs Syndrome
Parkinson Disease",N04BC09,,UCB Pharma S.A.,27,14/02/2006,"Allée de la Recherche 60
B-1070 Bruxelles
Belgium",,,,,,,,,Belgium
Irbesartan/Hydrochlorothiazide Teva,EMEA/H/C/001112,"irbesartan
hydrochlorothiazide",irbesartan / hydrochlorothiazide,Hypertension,C09DA04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V. ,13,25/11/2009,"Teva B.V.
Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Rilutek,EMEA/H/C/000109,Riluzole,riluzole,Amyotrophic Lateral Sclerosis,N07XX02,,Aventis Pharma S.A.,25,09/06/1996,"20 avenue Raymond Aron
92165 Antony Cedex
France",,,,,,,,,France
Emtricitabine/Tenofovir disoproxil Zentiva,EMEA/H/C/004137,"emtricitabine, tenofovir disoproxil phosphate",emtricitabine / tenofovir disoproxil,HIV Infections,J05AR03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Zentiva k.s.,1,08/11/2016,"U kabelovny 130
Dolni Mecholupy
102 37 Prague 10
Czech Republic",,,,,,,,,Czech Republic
